Category,Question,Answer,Rounds,Points,DailyDouble
"NONFICTION","In 2010 this former First Lady published the memoir ""Spoken from the Heart""",Laura Bush,2,1,0
"NONFICTION","This book by Michael Lewis subtitled ""Evolution of a Game"" focused on left tackle prodigy Michael Oher",The Blind Side,2,2,0
"NONFICTION","The New Yorker's 1959 review of this said in its brevity & clarity it is ""unlike most such manuals, a book as well as a tool""",The Elements of Style,2,3,1
"NONFICTION","Dave Eggers not-so-modestly titled his memoir ""A Heartbreaking Work of"" this",Staggering Genius,2,4,0
"NONFICTION","HBO's miniseries ""John Adams"" was based on this author's Pulitzer Prize-winning biography",David McCullough,2,5,0
"U.S. GEOGRAPHIC NICKNAMES","Cape Hatteras is known as this cemetery synonym ""of the Atlantic""",a graveyard,2,1,0
"U.S. GEOGRAPHIC NICKNAMES","Appropriately enough, this New York metropolis is ""Bison City""",Buffalo,2,2,0
"U.S. GEOGRAPHIC NICKNAMES","This town is known as ""Sin City"" & its downtown is ""Glitter Gulch""",Las Vegas,2,3,0
"U.S. GEOGRAPHIC NICKNAMES","It's known as both ""The Steel City"" & ""The Iron City""",Pittsburgh,2,4,0
"U.S. GEOGRAPHIC NICKNAMES","""The Coyote State"" is an unofficial nickname of this 75,885-square-mile state",South Dakota,2,5,0
"WHAT TO WEAR?","This plain-weave, sheer fabric made with tightly twisted yarn is also used to describe a pie or cake",chiffon,2,1,0
"WHAT TO WEAR?","A bit longer than a cocktail dress, one hemmed to end at the shins is this beverage ""length""",tea,2,2,0
"WHAT TO WEAR?","Also the name of a rope for leading cattle, this women's backless top has a strap that loops around the neck",halter,2,3,0
"WHAT TO WEAR?","If you're wearing Wellingtons at Wimbledon, you're wearing these",rainboots (or galoshes),2,4,0
"WHAT TO WEAR?","Throw on an outfit from the ""Marc by"" this designer line",Marc Jacobs,2,5,0
"19th CENTURY NOVELISTS","William Wilkinson's ""An Account of the Principalities of Wallachia and Moldavia"" inspired this author's most famous novel",Bram Stoker,3,NaN,0
